# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
846.0; 26.937; -0.04676; 1000.0; 0.0; -586.7
849.0; 27.046; -0.04530; 1000.0; 0.0; -571.3
852.0; 27.155; -0.04388; 1000.0; 0.0; -556.4
855.0; 27.264; -0.04251; 1000.0; 0.0; -541.7
858.0; 27.372; -0.04120; 1000.0; 0.0; -527.5
861.0; 27.480; -0.03993; 1000.0; 0.0; -513.7
864.0; 27.588; -0.03872; 1000.0; 0.0; -500.4
867.0; 27.696; -0.03757; 1000.0; 0.0; -487.6
870.0; 27.803; -0.03647; 1000.0; 0.0; -475.4
873.0; 27.910; -0.03543; 1000.0; 0.0; -463.6
876.0; 28.017; -0.03444; 1000.0; 0.0; -452.5
879.0; 28.123; -0.03351; 1000.0; 0.0; -441.9
882.0; 28.229; -0.03264; 1000.0; 0.0; -431.9
885.0; 28.335; -0.03181; 1000.0; 0.0; -422.5
888.0; 28.440; -0.03105; 1000.0; 0.0; -413.7
891.0; 28.545; -0.03033; 1000.0; 0.0; -405.6
894.0; 28.650; -0.02968; 1000.0; 0.0; -398.0
897.0; 28.755; -0.02907; 1000.0; 0.0; -391.1
900.0; 28.860; -0.02851; 1000.0; 0.0; -384.8
903.0; 28.964; -0.02801; 1000.0; 0.0; -379.1
906.0; 29.068; -0.02756; 1000.0; 0.0; -374.0
909.0; 29.172; -0.02716; 1000.0; 0.0; -369.5
912.0; 29.276; -0.02680; 1000.0; 0.0; -365.6
915.0; 29.379; -0.02650; 1000.0; 0.0; -362.4
918.0; 29.483; -0.02624; 1000.0; 0.0; -359.7
921.0; 29.586; -0.02602; 1000.0; 0.0; -357.6
924.0; 29.689; -0.02585; 1000.0; 0.0; -356.0
927.0; 29.792; -0.02571; 1000.0; 0.0; -354.9
930.0; 29.894; -0.02560; 1000.0; 0.0; -354.1
933.0; 29.996; -0.02550; 1000.0; 0.0; -353.5
936.0; 30.099; -0.02539; 1000.0; 0.0; -352.8
939.0; 30.201; -0.02524; 1000.0; 0.0; -351.5
942.0; 30.303; -0.02497; 1000.0; 0.0; -348.7
945.0; 30.404; -0.02450; 1000.0; 0.0; -343.1
948.0; 30.506; -0.02382; 1000.0; 0.0; -334.7
951.0; 30.607; -0.02303; 1000.0; 0.0; -324.7
954.0; 30.709; -0.02219; 1000.0; 0.0; -313.9
957.0; 30.810; -0.02133; 1000.0; 0.0; -302.8
960.0; 30.911; -0.02048; 1000.0; 0.0; -291.6
963.0; 31.012; -0.01965; 1000.0; 0.0; -280.6
966.0; 31.113; -0.01884; 1000.0; 0.0; -269.8
969.0; 31.214; -0.01805; 1000.0; 0.0; -259.3
972.0; 31.315; -0.01730; 1000.0; 0.0; -249.2
975.0; 31.416; -0.01657; 1000.0; 0.0; -239.4
978.0; 31.516; -0.01588; 1000.0; 0.0; -229.9
981.0; 31.617; -0.01521; 1000.0; 0.0; -220.8
984.0; 31.718; -0.01457; 1000.0; 0.0; -212.1
987.0; 31.818; -0.01396; 1000.0; 0.0; -203.7
990.0; 31.919; -0.01337; 1000.0; 0.0; -195.6
993.0; 32.019; -0.01281; 1000.0; 0.0; -187.8
996.0; 32.119; -0.01227; 1000.0; 0.0; -180.4
999.0; 32.219; -0.01176; 1000.0; 0.0; -173.2
1002.0; 32.319; -0.01127; 1000.0; 0.0; -166.4
1005.0; 32.419; -0.01080; 1000.0; 0.0; -159.9
1008.0; 32.519; -0.01035; 1000.0; 0.0; -153.6
1011.0; 32.619; -0.00993; 1000.0; 0.0; -147.6
1014.0; 32.718; -0.00952; 1000.0; 0.0; -141.8
1017.0; 32.818; -0.00913; 1000.0; 0.0; -136.4
1020.0; 32.917; -0.00876; 1000.0; 0.0; -131.1
1023.0; 33.017; -0.00841; 1000.0; 0.0; -126.1
1026.0; 33.116; -0.00807; 1000.0; 0.0; -121.3
1029.0; 33.215; -0.00776; 1000.0; 0.0; -116.7
1032.0; 33.314; -0.00745; 1000.0; 0.0; -112.4
1035.0; 33.413; -0.00716; 1000.0; 0.0; -108.2
1038.0; 33.511; -0.00689; 1000.0; 0.0; -104.3
1041.0; 33.610; -0.00662; 1000.0; 0.0; -100.5
1044.0; 33.708; -0.00638; 1000.0; 0.0; -96.9
1047.0; 33.807; -0.00614; 1000.0; 0.0; -93.5
1050.0; 33.905; -0.00592; 1000.0; 0.0; -90.3
1053.0; 34.003; -0.00571; 1000.0; 0.0; -87.2
1056.0; 34.101; -0.00551; 1000.0; -0.0; -84.3
1059.0; 34.199; -0.00532; 1000.0; -0.0; -81.5
1062.0; 34.297; -0.00514; 1000.0; -0.0; -78.9
1065.0; 34.395; -0.00497; 1000.0; -0.0; -76.5
1068.0; 34.493; -0.00481; 1000.0; -0.0; -74.1
1071.0; 34.590; -0.00466; 1000.0; -0.0; -72.0
1074.0; 34.687; -0.00452; 1000.0; -0.0; -69.9
1077.0; 34.785; -0.00439; 1000.0; -0.0; -68.0
1080.0; 34.882; -0.00427; 1000.0; -0.0; -66.2
1083.0; 34.979; -0.00415; 1000.0; -0.0; -64.5
1086.0; 35.076; -0.00405; 1000.0; -0.0; -63.0
1089.0; 35.173; -0.00395; 1000.0; -0.0; -61.5
1092.0; 35.270; -0.00386; 1000.0; -0.0; -60.2
1095.0; 35.367; -0.00377; 1000.0; -0.0; -59.0
1098.0; 35.463; -0.00370; 1000.0; -0.0; -57.9
1101.0; 35.560; -0.00363; 1000.0; -0.0; -56.9
1104.0; 35.656; -0.00357; 1000.0; -0.0; -56.0
1107.0; 35.752; -0.00351; 1000.0; -0.0; -55.2
1110.0; 35.848; -0.00346; 1000.0; -0.0; -54.6
1113.0; 35.945; -0.00342; 1000.0; -0.0; -54.0
1116.0; 36.041; -0.00339; 1000.0; -0.0; -53.5
1119.0; 36.136; -0.00336; 1000.0; -0.0; -53.1
1122.0; 36.232; -0.00334; 1000.0; -0.0; -52.9
1125.0; 36.328; -0.00332; 1000.0; -0.0; -52.7
1128.0; 36.424; -0.00331; 1000.0; -0.0; -52.6
1131.0; 36.519; -0.00331; 1000.0; -0.0; -52.6
1134.0; 36.614; -0.00332; 1000.0; -0.0; -52.8
1137.0; 36.710; -0.00333; 1000.0; -0.0; -53.0
1140.0; 36.805; -0.00334; 1000.0; -0.0; -53.3
1143.0; 36.900; -0.00336; 1000.0; -0.0; -53.7
1146.0; 36.995; -0.00339; 1000.0; -0.0; -54.3
1149.0; 37.090; -0.00343; 1000.0; -0.0; -54.9
1152.0; 37.185; -0.00347; 1000.0; -0.0; -55.6
1155.0; 37.279; -0.00352; 1000.0; -0.0; -56.5
1158.0; 37.374; -0.00357; 1000.0; -0.0; -57.4
1161.0; 37.468; -0.00364; 1000.0; -0.0; -58.5
1164.0; 37.562; -0.00370; 1000.0; -0.0; -59.6
1167.0; 37.657; -0.00378; 1000.0; -0.0; -60.9
1170.0; 37.751; -0.00386; 1000.0; -0.0; -62.3
1173.0; 37.844; -0.00395; 1000.0; -0.0; -63.8
1176.0; 37.938; -0.00405; 1000.0; -0.0; -65.4
1179.0; 38.032; -0.00415; 1000.0; -0.0; -67.2
1182.0; 38.125; -0.00426; 1000.0; -0.0; -69.0
1185.0; 38.219; -0.00437; 1000.0; -0.0; -71.0
1188.0; 38.312; -0.00449; 1000.0; -0.0; -73.0
1191.0; 38.406; -0.00461; 1000.0; -0.0; -75.0
1194.0; 38.499; -0.00473; 1000.0; -0.0; -77.0
1197.0; 38.592; -0.00483; 1000.0; -0.0; -78.8
1200.0; 38.685; -0.00492; 1000.0; -0.0; -80.3
1203.0; 38.778; -0.00495; 1000.0; -0.0; -81.1
1206.0; 38.871; -0.00492; 1000.0; -0.0; -80.8
1209.0; 38.964; -0.00482; 1000.0; -0.0; -79.4
1212.0; 39.057; -0.00468; 1000.0; -0.0; -77.3
1215.0; 39.150; -0.00452; 1000.0; -0.0; -74.8
1218.0; 39.242; -0.00435; 1000.0; -0.0; -72.2
1221.0; 39.335; -0.00418; 1000.0; -0.0; -69.5
1224.0; 39.428; -0.00402; 1000.0; -0.0; -66.8
1227.0; 39.520; -0.00385; 1000.0; -0.0; -64.2
